num,dyad,id,time,RM,party,timecontrast1_pre_post,timecontrast2_pre_followup,timecontrast3_post_pre,timecontrast4_post_followup,timecontrast5_followup_pre,timecontrast6_followup_post,IH,affiliation_C
1,2,630,1,1,-1,0,0,1,0,1,0,6.5,0.5517
2,2,630,2,2,-1,1,0,0,0,0,1,7,0.5517
3,2,630,3,3,-1,0,1,0,1,0,0, ,0.5517
4,2,64,1,4,1,0,0,1,0,1,0,5.5,0.5517
5,2,64,2,5,1,1,0,0,0,0,1,6,0.5517
6,2,64,3,6,1,0,1,0,1,0,0, ,0.5517
7,20,340,1,1,-1,0,0,1,0,1,0,6,0.5517
8,20,340,2,2,-1,1,0,0,0,0,1,6,0.5517
9,20,340,3,3,-1,0,1,0,1,0,0,6,0.5517
10,20,269,1,4,1,0,0,1,0,1,0,5.5,0.5517
11,20,269,2,5,1,1,0,0,0,0,1,7,0.5517
12,20,269,3,6,1,0,1,0,1,0,0,6,0.5517
13,66,12,1,1,-1,0,0,1,0,1,0,6,-0.1983
14,66,12,2,2,-1,1,0,0,0,0,1,4.5,-0.1983
15,66,12,3,3,-1,0,1,0,1,0,0, ,-0.1983
16,121,550,1,1,-1,0,0,1,0,1,0,6,0.5517
17,121,550,2,2,-1,1,0,0,0,0,1,6,0.5517
18,121,550,3,3,-1,0,1,0,1,0,0,6,0.5517
19,121,195,1,4,1,0,0,1,0,1,0,5.5,0.5517
20,121,195,2,5,1,1,0,0,0,0,1,5.5,0.5517
21,121,195,3,6,1,0,1,0,1,0,0,6,0.5517
22,132,37,1,1,-1,0,0,1,0,1,0,6,0.3017
23,132,37,2,2,-1,1,0,0,0,0,1,7,0.3017
24,132,37,3,3,-1,0,1,0,1,0,0,6,0.3017
25,132,361,1,4,1,0,0,1,0,1,0,6.5,-0.1983
26,132,361,2,5,1,1,0,0,0,0,1,4,-0.1983
27,132,361,3,6,1,0,1,0,1,0,0,4.5,-0.1983
28,135,720,1,1,-1,0,0,1,0,1,0,7,0.5517
29,135,720,2,2,-1,1,0,0,0,0,1, ,0.5517
30,135,720,3,3,-1,0,1,0,1,0,0, ,0.5517
31,135,291,1,4,1,0,0,1,0,1,0,7,0.5517
32,135,291,2,5,1,1,0,0,0,0,1,7,0.5517
33,135,291,3,6,1,0,1,0,1,0,0, ,0.5517
34,142,836,1,1,-1,0,0,1,0,1,0,4.5,-0.4483
35,142,836,2,2,-1,1,0,0,0,0,1,6,-0.4483
36,142,836,3,3,-1,0,1,0,1,0,0, ,-0.4483
37,142,120,1,4,1,0,0,1,0,1,0,6,0.5517
38,142,120,2,5,1,1,0,0,0,0,1,7,0.5517
39,142,120,3,6,1,0,1,0,1,0,0, ,0.5517
40,174,210,1,1,-1,0,0,1,0,1,0,5.5,0.218366667
41,174,210,2,2,-1,1,0,0,0,0,1,6,0.218366667
42,174,210,3,3,-1,0,1,0,1,0,0, ,0.218366667
43,174,859,1,4,1,0,0,1,0,1,0,6,0.5517
44,174,859,2,5,1,1,0,0,0,0,1,6.5,0.5517
45,174,859,3,6,1,0,1,0,1,0,0, ,0.5517
46,210,480,1,1,-1,0,0,1,0,1,0,1,0.5517
47,210,480,2,2,-1,1,0,0,0,0,1,7,0.5517
48,210,480,3,3,-1,0,1,0,1,0,0,7,0.5517
49,210,591,1,4,1,0,0,1,0,1,0,4.5,0.5517
50,210,591,2,5,1,1,0,0,0,0,1,7,0.5517
51,210,591,3,6,1,0,1,0,1,0,0,7,0.5517
52,211,861,1,1,-1,0,0,1,0,1,0,5.5,0.3017
53,211,861,2,2,-1,1,0,0,0,0,1,6,0.3017
54,211,861,3,3,-1,0,1,0,1,0,0, ,0.3017
55,211,667,1,4,1,0,0,1,0,1,0,6,0.5517
56,211,667,2,5,1,1,0,0,0,0,1,7,0.5517
57,211,667,3,6,1,0,1,0,1,0,0,6,0.5517
58,222,778,1,1,-1,0,0,1,0,1,0,6.5,-1.6983
59,222,778,2,2,-1,1,0,0,0,0,1,6.5,-1.6983
60,222,778,3,3,-1,0,1,0,1,0,0, ,-1.6983
61,222,663,1,4,1,0,0,1,0,1,0,5,0.3017
62,222,663,2,5,1,1,0,0,0,0,1,6,0.3017
63,222,663,3,6,1,0,1,0,1,0,0,6.5,0.3017
64,224,484,1,1,-1,0,0,1,0,1,0,6,0.3017
65,224,484,2,2,-1,1,0,0,0,0,1,6,0.3017
66,224,484,3,3,-1,0,1,0,1,0,0,6,0.3017
67,224,323,1,4,1,0,0,1,0,1,0,5.5,0.0517
68,224,323,2,5,1,1,0,0,0,0,1,6,0.0517
69,224,323,3,6,1,0,1,0,1,0,0,6,0.0517
70,226,66,1,1,-1,0,0,1,0,1,0,6,-1.4483
71,226,66,2,2,-1,1,0,0,0,0,1,5,-1.4483
72,226,66,3,3,-1,0,1,0,1,0,0, ,-1.4483
73,243,3,1,1,-1,0,0,1,0,1,0,6,0.5517
74,243,3,2,2,-1,1,0,0,0,0,1,7,0.5517
75,243,3,3,3,-1,0,1,0,1,0,0,7,0.5517
76,243,542,1,4,1,0,0,1,0,1,0,6.5,0.5517
77,243,542,2,5,1,1,0,0,0,0,1,6.5,0.5517
78,243,542,3,6,1,0,1,0,1,0,0,7,0.5517
79,245,51,1,4,1,0,0,1,0,1,0,6,-1.4483
80,245,51,2,5,1,1,0,0,0,0,1,6,-1.4483
81,245,51,3,6,1,0,1,0,1,0,0, ,-1.4483
82,273,605,1,1,-1,0,0,1,0,1,0,5.5,0.5517
83,273,605,2,2,-1,1,0,0,0,0,1,6,0.5517
84,273,605,3,3,-1,0,1,0,1,0,0,6,0.5517
85,273,21,1,4,1,0,0,1,0,1,0,4.5,0.5517
86,273,21,2,5,1,1,0,0,0,0,1,6.5,0.5517
87,273,21,3,6,1,0,1,0,1,0,0,6,0.5517
88,300,283,1,1,-1,0,0,1,0,1,0,5,0.5517
89,300,283,2,2,-1,1,0,0,0,0,1,5.5,0.5517
90,300,283,3,3,-1,0,1,0,1,0,0,5.5,0.5517
91,300,6,1,4,1,0,0,1,0,1,0,5,-0.4483
92,300,6,2,5,1,1,0,0,0,0,1,4,-0.4483
93,300,6,3,6,1,0,1,0,1,0,0, ,-0.4483
94,305,299,1,1,-1,0,0,1,0,1,0,5,-0.6983
95,305,299,2,2,-1,1,0,0,0,0,1,5.5,-0.6983
96,305,299,3,3,-1,0,1,0,1,0,0,5.5,-0.6983
97,305,851,1,4,1,0,0,1,0,1,0,5,0.5517
98,305,851,2,5,1,1,0,0,0,0,1,7,0.5517
99,305,851,3,6,1,0,1,0,1,0,0,6.5,0.5517
100,329,471,1,1,-1,0,0,1,0,1,0,5,-0.4483
101,329,471,2,2,-1,1,0,0,0,0,1,5,-0.4483
102,329,471,3,3,-1,0,1,0,1,0,0, ,-0.4483
103,329,272,1,4,1,0,0,1,0,1,0,5.5,-0.1983
104,329,272,2,5,1,1,0,0,0,0,1,5.5,-0.1983
105,329,272,3,6,1,0,1,0,1,0,0, ,-0.1983
106,370,53,1,1,-1,0,0,1,0,1,0,5.5,0.5517
107,370,53,2,2,-1,1,0,0,0,0,1,6,0.5517
108,370,53,3,3,-1,0,1,0,1,0,0, ,0.5517
109,370,835,1,4,1,0,0,1,0,1,0,6,-0.1983
110,370,835,2,5,1,1,0,0,0,0,1,6,-0.1983
111,370,835,3,6,1,0,1,0,1,0,0, ,-0.1983
112,372,217,1,1,-1,0,0,1,0,1,0,5.5,-1.114966667
113,372,217,2,2,-1,1,0,0,0,0,1,6,-1.114966667
114,372,217,3,3,-1,0,1,0,1,0,0, ,-1.114966667
115,372,545,1,4,1,0,0,1,0,1,0,5.5,-0.4483
116,372,545,2,5,1,1,0,0,0,0,1, ,-0.4483
117,372,545,3,6,1,0,1,0,1,0,0, ,-0.4483
118,385,455,1,1,-1,0,0,1,0,1,0,6.5,-0.1983
119,385,455,2,2,-1,1,0,0,0,0,1,6.5,-0.1983
120,385,455,3,3,-1,0,1,0,1,0,0, ,-0.1983
121,385,415,1,4,1,0,0,1,0,1,0,5,-1.114966667
122,385,415,2,5,1,1,0,0,0,0,1,6,-1.114966667
123,385,415,3,6,1,0,1,0,1,0,0, ,-1.114966667
124,466,218,1,1,-1,0,0,1,0,1,0,6,-0.1983
125,466,218,2,2,-1,1,0,0,0,0,1,7,-0.1983
126,466,218,3,3,-1,0,1,0,1,0,0,7,-0.1983
127,466,872,1,4,1,0,0,1,0,1,0,6.5,0.5517
128,466,872,2,5,1,1,0,0,0,0,1,6.5,0.5517
129,466,872,3,6,1,0,1,0,1,0,0,6.5,0.5517
130,470,345,1,1,-1,0,0,1,0,1,0,5.5,0.5517
131,470,345,2,2,-1,1,0,0,0,0,1,6,0.5517
132,470,345,3,3,-1,0,1,0,1,0,0, ,0.5517
133,470,278,1,4,1,0,0,1,0,1,0,7,0.5517
134,470,278,2,5,1,1,0,0,0,0,1,7,0.5517
135,470,278,3,6,1,0,1,0,1,0,0, ,0.5517
136,489,215,1,1,-1,0,0,1,0,1,0,6.5,-1.4483
137,489,215,2,2,-1,1,0,0,0,0,1,6,-1.4483
138,489,215,3,3,-1,0,1,0,1,0,0,6,-1.4483
139,489,826,1,4,1,0,0,1,0,1,0,5,0.0517
140,489,826,2,5,1,1,0,0,0,0,1,6.5,0.0517
141,489,826,3,6,1,0,1,0,1,0,0,7,0.0517
142,509,381,1,1,-1,0,0,1,0,1,0,7,-0.4483
143,509,381,2,2,-1,1,0,0,0,0,1,6,-0.4483
144,509,381,3,3,-1,0,1,0,1,0,0, ,-0.4483
145,517,327,1,1,-1,0,0,1,0,1,0,4,-0.4483
146,517,327,2,2,-1,1,0,0,0,0,1,5,-0.4483
147,517,327,3,3,-1,0,1,0,1,0,0, ,-0.4483
148,517,622,1,4,1,0,0,1,0,1,0,5.5,-1.4483
149,517,622,2,5,1,1,0,0,0,0,1,6.5,-1.4483
150,517,622,3,6,1,0,1,0,1,0,0, ,-1.4483
151,540,764,1,1,-1,0,0,1,0,1,0,4,-1.4483
152,540,764,2,2,-1,1,0,0,0,0,1,5,-1.4483
153,540,764,3,3,-1,0,1,0,1,0,0, ,-1.4483
154,540,768,1,4,1,0,0,1,0,1,0,4.5,-0.4483
155,540,768,2,5,1,1,0,0,0,0,1,5,-0.4483
156,540,768,3,6,1,0,1,0,1,0,0, ,-0.4483
